Que fait-on pour gagner de l'argent;On travaille;On ne fait rien;L'argent tombe du ciel;On travaille
Quel est le synonyme de "Blaguer";Comique;Tranquille;Plaisanter;Plaisanter
Quelle est la couleur du ciel;Bleu;Vert;Orange;Bleu
Comment appelle-t-on le nez d'un chat;Nez;Truffe;Museau;Museau
A quoi sert l'école;A rien;A s'amuser;A apprendre;A apprendre
Comment écrit-on avec des chiffres le nombre "dix millions cent mille un"?;10100001;10100100;10101001;10100001
A quel âge peut-on monter devant dans une voiture;10 ans;12 ans;13 ans;10 ans
Comment appelle-t-on le petit du cheval;Poney;Poulain;Bébé;Poulain
Les Romains sont un peuple guerrier organisé en légions. Ils mettent au point de redoutables machines de guerre. Trouve l'intrus parmi ces quatre propositions;le taureau;la catapulte;la tour d'assaut;le taureau
777 + 777 =;1554;1564;1664;1554
7 x 8 =;54;56;58;56
10 + 13 + 7 =;20;30;35;30
Avec l’aide d’un chef gaulois (Vercingétorix) quelques tribus résistent à Jules César. De quelle tribu Vercingétorix était-il le chef;les arvernes;les helvètes;les séquanes;les arvernes
5 + 6 - 1 =;11;10;9;10
55 =;20 + 20 + 5;20 + 15 + 20; 15 + 15 + 25;20 + 15 + 20
82 =;70 + 20 - 5;85 - 2;50 + 30 + 2;50 + 30 2
33 =;11 + 11 + 11;10 + 10 + 12;40 - 1 - 3;11 + 11 + 11
La moitié de 18 =;11;10;9;9
Le double de 16 =;34;32;30;32
Combien y a t-il de mètres dans un kilomètre;1000;100;10;1000
Comment lis tu le nombre 1111101111;Un milliard cent onze millions cent un mille cent onze;Cent onze millions cent un mille cent onze;Onze milliards cent onze millions mille cent onze;Un milliard cent onze millions cent un mille cent onze
Laquelle des unités de mesure suivantes permet de mesurer une longueur;Le millilitre;Le centimètre;Le kilogramme;La seconde;Le centimètre
Quel est le temps employé dans cette phrase "Pierre et Alain ont gagné le concours.";Passé;Présent;Futur;Passé
Quel est le temps employé dans cette phrase "Pierre ne retrouvera pas son livre.";Passé;Présent;Futur;Futur
Quel est le temps employé dans cette phrase "Aujourd'hui je suis de meilleure humeur";Passé;Présent;Futur;Présent
Quel est le temps employé dans cette phrase "A Noël, Kate ouvrira ses cadeaux.";Passé;Présent;Futur;Futur
Quel est le temps employé dans cette phrase "Elles mangent des crêpes.";Passé;Présent;Futur;Présent
Quel est le temps employé dans cette phrase "Je faisais du ski.";Passé;Présent;Futur;Passé
Quel est le synonyme de "calme";Comique;Tranquille;Dormir;Tranquille
Quel est le synonyme de "Mignon";Joli;Moche;Drôle;Joli
Quel est le synonyme de "drôle";Comique;Mignon;Haut;Comique
Léa met son maillot de bain, prend sa bouée et rejoint sa mère. Où est Léa;A la cantine;A la piscine;Dans la rue;A la piscine
Les enfants s'installent, la maîtresse demande à Paul de venir au tableau. Où est Paul;A la piscine;Dans sa chambre;Dans la classe;Dans la classe
Jean est fatigué, il est bientôt 21 h, il embrasse son papa et sa maman qui vont le border. Où est Jean;Dans sa chambre;Dans le salon;Dans la voiture;Dasn sa chambre
Claudine donne la main à sa maman, qui attend que le feu passe au rouge pour pouvoir traverser. Où est claudine;Dans la voiture;Dans un arbre;Dans la rue;Dans la rue
Quel mot est de la même famille que "planter";Plantation;Dangereux;Tromper;Plantation
Quel mot est de la même famille que "agrandir";Allonger;Grand;Rétrécir;Grand
Quel mot est de la même famille que "froid";Allonger;Chauffer;Refroidir;Refroidir
Quel mot est de la même famille que "Allonger";Long;Courir;Petit;Long
Quel est le groupe verbal qui correspond à "les lions";Rugissent;Mangent de la salade;Court vite;Rugissent
Quel est le groupe verbal qui correspond à "la maîtresse";Pleurez;Ecrit au tableau;Mangent de la viande;Ecrit au tableau
Quel est le groupe verbal qui correspond à "le dentiste";Soignons;Soignent une dent;Soigne une dent;Soigne une dent
Lequel de ces verbes est conjugué;Vendre;Mange;Boire;Mange
Lequel de ces verbes n'est pas conjugué;Acheter;Courez;Dessine;Acheter
Combien comptes-tu de syllabes dans "montagne";2;3;4;3
Combien comptes-tu de syllabes dans "région";2;3;4;2
Combien comptes-tu de syllabes dans "retour";2;3;4;2
Quelle est la capitale de la France;Londres;Paris;Lille;Paris
Je suis une mer située au nord de la France. Qui suis-je;La Manche;La mer Méditerranée;L'océan Atlantique;La Manche
Je suis une chaîne montagneuse du sud-est de la France. Qui suis-je;Les Pyrénées;Le Massif Central;Les Alpes;Les Alpes
Quand est-ce que la première guerre mondiale a-t-elle commencé;1939;1914;1897;1914
Quand est-ce que la deuxième guerre mondiale a-t-elle commencé;1939;1914;1897;1939
Le petit de la canne s'appelle;Le chiot;Le canneton;Le chevreau;Le canneton
Le petit de la vache s'appelle;Le canneton;Le chevreau;Le veau;Le veau
La France est;Un continent;Une région;Un pays;Un pays
L'Afrique est;Une ville;Un pays;Un continent;Un continent
